"accel"	"potenzacv"	"massa"
"lamborghini aventador aventador-65-v12-lp700-4"	2,9	700	1500
"lamborghini gallardo-spider gallardo-52-v10-lp550-2-spyder"	4,2	550	1520
"lexus ct ct-200h"	10,3	136	1370
"lexus ls ls-460"	5,7	381	2000
"lexus ls ls-600h"	6,3	445	2345
"lexus rx rx-350"	8	277	2160
"lexus rx rx-450h"	7,8	299	2205
"mazda mazda2 mazda2-13-75-cv-3p-start"	14,9	75	975
"mazda mazda2 mazda2-13-75-cv-5p-start"	14,9	75	980
"mazda mazda2 mazda2-15-102-cv-3p-sporty"	10,7	102	980
"mazda mazda2 mazda2-15-102-cv-5p-sporty"	10,7	102	985
"mazda mazda3-4p mazda3-16-mz-cd-115-cv-4p-active"	12	116	1240
"mazda mazda3-4p mazda3-16-mzr-105-cv-4p-active"	12,2	105	1175
"mazda mazda3-5p mazda3-16-mzr-105-cv-5p"	12,2	105	1190
"mclaren mp4 mp4-12c"	3,3	600	1336
"mercedes cl cl-500-blueefficiency-sport"	4,9	435	1995
"mercedes cl cl-65-amg-performance"	4,4	629	2170
"mercedes classe-a a-180-blueefficiency-executive"	9,2	122	1295
"mercedes classe-a a-180-cdi-blueefficiency-executive"	11,3	109	1320
"mercedes classe-e-berlina e-200-blueefficiency-executive"	8,5	184	1540
"mercedes classe-e-berlina e-350-bluetec-executive"	7,8	211	1770
"mercedes classe-e-berlina e-350-cdi-blueefficiency-executive"	6,2	265	1760
"mercedes classe-e-berlina e-500-blueefficiency-elegance"	5,4	408	1805
"mercedes classe-e-berlina e-bluetec-hybrid-executive"	7,5	224	1770
"mercedes classe-s s-250-cdi-biturbo-elegance"	8,2	204	1875
"mercedes classe-s s-350-blueefficiency-elegance"	6,9	306	1835
"mercedes classe-s s-350-bluetec-grand-edition"	7,1	258	1920
"mercedes classe-s s-600-avantgarde-lunga"	4,6	517	2135
"mercedes classe-s s-65-amg-performance-lunga"	4,4	629	2200
"mercedes cls cls-350-blueefficiency"	6,1	306	1660
"mercedes cls cls-500-blueefficiency"	5,2	408	1815
"mercedes cls cls-63-amg"	4,4	525	1795
"mercedes cls cls-63-amg-performance"	4,4	557	1795
"opel ampera ampera-e-rev"	9	151	1732
"peugeot 107 107-10-68-cv-3p-access"	13,7	68	850
"peugeot 107 107-10-68-cv-5p-access"	13,7	68	850
"peugeot 206-plus 206-plus-11-60-cv-3p-energie"	16,1	60	930
"peugeot 206-plus 206-plus-14-hdi-70-cv-3p-energie"	13,8	68	963
"peugeot 206-plus 206-plus-14-hdi-70-cv-5p-energie"	13,8	68	976
"peugeot 3008 3008-hybrid4-99g"	8,5	200	1660
"peugeot 308-berlina 308-14-vti-98-cv-5p-access"	14,3	98	1271
"peugeot 308-berlina 308-16-8v-e-hdi-112-cv-s&s-5p-access"	11,4	112	1318
"peugeot 308-berlina 308-16-8v-hdi-93-cv-5p-access"	12,4	92	1303
"peugeot 308-berlina 308-16-thp-200-cv-5p-gti"	7,7	200	1399
"peugeot 308-berlina 308-16-vti-120-cv-5p-access"	10,8	120	1287
"peugeot 308-berlina 308-20-hdi-163-cv-5p-aut-sport"	9,6	163	1428
"peugeot 508-berlina 508-16-8v-hdi-115-cv-access"	11,3	115	1330
"peugeot 508-berlina 508-16-thp-156-cv-active"	8,6	156	1325
"peugeot 508-berlina 508-16-vti-120-cv-ca-robot-access"	11,5	120	1315
"peugeot 508-berlina 508-22-hdi-204-cv-aut-gt"	8,2	204	1465
"peugeot 508-berlina 508-hybrid4-allure"	8,6	200	1660
"porsche 911 911-carrera-coupe"	4,8	350	1380
"porsche  918------310"	3	218	1395
"porsche cayenne cayenne-s-hybrid"	6,5	380	2240
"porsche cayenne cayenne-turbo"	4,7	500	2170
"rolls-royce phantom-berlina phantom"	5,9	460	2495
"rolls-royce phantom-berlina phantom-ewb"	5,9	460	2670
"rolls-royce phantom-cc phantom-drophead-coupe"	5,9	460	2620
"skoda fabia-berlina fabia-12-6v-60-cv-5p-active"	16,5	60	1095
"skoda octavia-berlina octavia-12-tsi-active"	10,8	105	1265
"skoda octavia-berlina octavia-14-tsi-ambition"	9,7	122	1265
"skoda octavia-berlina octavia-16-tdi-cr-active"	11,8	105	1365
"skoda octavia-berlina octavia-18-tfsi-elegance"	7,8	160	1305
"skoda octavia-berlina octavia-20-tdi-cr-rs"	8,4	170	1425
"skoda octavia-berlina octavia-20-tfsi-rs"	7,3	200	1395
"smart fortwo-coupe fortwo-1000-45-kw-mhd-coupe-pure"	16,8	61	750
"smart fortwo-coupe fortwo-1000-75-kw-coupe-brabus"	8,9	102	795
"smart fortwo-coupe fortwo-800-40-kw-coupe-pure-cdi"	16,8	54	770
"tata aria aria-22-16v-prestige"	15	150	1595
"tata vista vista-14-safire-5p"	12	75	1136
"toyota auris auris-13-5p"	13,1	99	1270
"toyota auris auris-18-hybrid-5p"	11,4	136	1380
"toyota avensis-berlina avensis-18-lounge"	9,4	147	1420
"toyota avensis-berlina avensis-20-d-4d-lounge"	9,7	124	1530
"toyota avensis-berlina avensis-22-d-4d-lounge"	8,9	150	1545
"toyota avensis-station avensis-18-wagon-lounge"	9,7	147	1455
"toyota avensis-station avensis-20-d-4d-wagon-lounge"	10	124	1590
"toyota avensis-station avensis-22-d-4d-wagon-lounge"	9,2	150	1590
"toyota land-cruiser-5p land-cruiser-30-d4-d-5p"	12,4	190	2290
"toyota land-cruiser-v8 land-cruiser-v8-45-at-7-posti-lounge"	8,9	272	2625
"toyota prius-5-posti prius-18-active"	10,4	136	1395
"toyota prius-7-posti prius-18-active"	11,3	136	1530
"toyota rav4 rav4-20-multidrives-lounge"	11	158	1615
"toyota rav4 rav4-22-d-4d-150-cv"	10,2	150	1700
"toyota rav4 rav4-crossport-20-lounge"	10,2	158	1490
"toyota yaris yaris-10-3p"	15,3	69	1005
"toyota yaris yaris-10-5p"	15,3	69	1005
"toyota yaris yaris-13-3p-active"	11,7	99	1045
"toyota yaris yaris-14-d-4d-3p"	10,8	90	1075
"toyota yaris yaris-15-hybrid-5p-lounge"	11,8	100	1120
"volkswagen golf-berlina golf-12-tsi-3p-trendline"	10,6	105	1159
"volkswagen golf-berlina golf-14-tsi-122-cv-3p-highline"	9,5	122	1215
"volkswagen golf-berlina golf-16-tdi-5p-united"	11,3	105	1239
"volkswagen golf-berlina golf-16-tdi-dpf-dsg-3p-highline"	11,2	105	1337
"volkswagen golf-berlina golf-20-tdi-170-cv-3p-gtd"	8,1	170	1329
"volkswagen golf-berlina golf-20-tsi-3p-gti"	6,9	210	1318
"volkswagen passat-berlina passat-14-tsi-trendline-bluem-tech"	10,3	122	1451
"volkswagen passat-berlina passat-20-tdi-comfortline-bluemtech"	9,8	140	1532
"volkswagen touareg touareg-30-v6-tdi-245-cv-tip-bmt"	7,6	245	2153
"volkswagen touareg touareg-30-v6-tsi-tiptronic-hybrid"	6,5	380	2240
